# Kangxi Radicals
2F72	 ⽲ 	KANGXI RADICAL GRAIN	• Kangxi Radical 115	≈ 79BE 禾
2F73	 ⽳ 	KANGXI RADICAL CAVE	• Kangxi Radical 116	≈ 7A74 穴
2F74	 ⽴ 	KANGXI RADICAL STAND	• Kangxi Radical 117	≈ 7ACB 立
2F75	 ⽵ 	KANGXI RADICAL BAMBOO	• Kangxi Radical 118	≈ 7AF9 竹
2F76	 ⽶ 	KANGXI RADICAL RICE	• Kangxi Radical 119	≈ 7C73 米
2F77	 ⽷ 	KANGXI RADICAL SILK	• Kangxi Radical 120	≈ 7CF8 糸
2F78	 ⽸ 	KANGXI RADICAL JAR	• Kangxi Radical 121	≈ 7F36 缶
2F79	 ⽹ 	KANGXI RADICAL NET	• Kangxi Radical 122	≈ 7F51 网
2F7A	 ⽺ 	KANGXI RADICAL SHEEP	• Kangxi Radical 123	≈ 7F8A 羊
2F7B	 ⽻ 	KANGXI RADICAL FEATHER	• Kangxi Radical 124	≈ 7FBD 羽
2F7C	 ⽼ 	KANGXI RADICAL OLD	• Kangxi Radical 125	≈ 8001 老
2F7D	 ⽽ 	KANGXI RADICAL AND	• Kangxi Radical 126	≈ 800C 而
2F7E	 ⽾ 	KANGXI RADICAL PLOW	• Kangxi Radical 127	≈ 8012 耒
2F7F	 ⽿ 	KANGXI RADICAL EAR	• Kangxi Radical 128	≈ 8033 耳
2F80	 ⾀ 	KANGXI RADICAL BRUSH	• Kangxi Radical 129	≈ 807F 聿
2F81	 ⾁ 	KANGXI RADICAL MEAT	• Kangxi Radical 130	≈ 8089 肉
2F82	 ⾂ 	KANGXI RADICAL MINISTER	• Kangxi Radical 131	≈ 81E3 臣
2F83	 ⾃ 	KANGXI RADICAL SELF	• Kangxi Radical 132	≈ 81EA 自
2F84	 ⾄ 	KANGXI RADICAL ARRIVE	• Kangxi Radical 133	≈ 81F3 至
2F85	 ⾅ 	KANGXI RADICAL MORTAR	• Kangxi Radical 134	≈ 81FC 臼
2F86	 ⾆ 	KANGXI RADICAL TONGUE	• Kangxi Radical 135	≈ 820C 舌
2F87	 ⾇ 	KANGXI RADICAL OPPOSE	• Kangxi Radical 136	≈ 821B 舛
2F88	 ⾈ 	KANGXI RADICAL BOAT	• Kangxi Radical 137	≈ 821F 舟
2F89	 ⾉ 	KANGXI RADICAL STOPPING	• Kangxi Radical 138	≈ 826E 艮
2F8A	 ⾊ 	KANGXI RADICAL COLOR	• Kangxi Radical 139	≈ 8272 色
2F8B	 ⾋ 	KANGXI RADICAL GRASS	• Kangxi Radical 140	≈ 8278 艸
2F8C	 ⾌ 	KANGXI RADICAL TIGER	• Kangxi Radical 141	≈ 864D 虍
2F8D	 ⾍ 	KANGXI RADICAL INSECT	• Kangxi Radical 142	≈ 866B 虫
2F8E	 ⾎ 	KANGXI RADICAL BLOOD	• Kangxi Radical 143	≈ 8840 血
2F8F	 ⾏ 	KANGXI RADICAL WALK ENCLOSURE	• Kangxi Radical 144	≈ 884C 行
2F90	 ⾐ 	KANGXI RADICAL CLOTHES	• Kangxi Radical 145	≈ 8863 衣
2F91	 ⾑ 	KANGXI RADICAL WEST	• Kangxi Radical 146	≈ 897E 襾
2F92	 ⾒ 	KANGXI RADICAL SEE	• Kangxi Radical 147	≈ 898B 見
2F93	 ⾓ 	KANGXI RADICAL HORN	• Kangxi Radical 148	≈ 89D2 角
2F94	 ⾔ 	KANGXI RADICAL SPEECH	• Kangxi Radical 149	≈ 8A00 言
2F95	 ⾕ 	KANGXI RADICAL VALLEY	• Kangxi Radical 150	≈ 8C37 谷
2F96	 ⾖ 	KANGXI RADICAL BEAN	• Kangxi Radical 151	≈ 8C46 豆
2F97	 ⾗ 	KANGXI RADICAL PIG	• Kangxi Radical 152	≈ 8C55 豕
2F98	 ⾘ 	KANGXI RADICAL BADGER	• Kangxi Radical 153	≈ 8C78 豸
2F99	 ⾙ 	KANGXI RADICAL SHELL	• Kangxi Radical 154	≈ 8C9D 貝
2F9A	 ⾚ 	KANGXI RADICAL RED	• Kangxi Radical 155	≈ 8D64 赤
2F9B	 ⾛ 	KANGXI RADICAL RUN	• Kangxi Radical 156	≈ 8D70 走
2F9C	 ⾜ 	KANGXI RADICAL FOOT	• Kangxi Radical 157	≈ 8DB3 足
2F9D	 ⾝ 	KANGXI RADICAL BODY	• Kangxi Radical 158	≈ 8EAB 身
2F9E	 ⾞ 	KANGXI RADICAL CART	• Kangxi Radical 159	≈ 8ECA 車
2F9F	 ⾟ 	KANGXI RADICAL BITTER	• Kangxi Radical 160	≈ 8F9B 辛
2FA0	 ⾠ 	KANGXI RADICAL MORNING	• Kangxi Radical 161	≈ 8FB0 辰
2FA1	 ⾡ 	KANGXI RADICAL WALK	• Kangxi Radical 162	≈ 8FB5 辵
2FA2	 ⾢ 	KANGXI RADICAL CITY	• Kangxi Radical 163	≈ 9091 邑
2FA3	 ⾣ 	KANGXI RADICAL WINE	• Kangxi Radical 164	≈ 9149 酉
2FA4	 ⾤ 	KANGXI RADICAL DISTINGUISH	• Kangxi Radical 165	≈ 91C6 釆
2FA5	 ⾥ 	KANGXI RADICAL VILLAGE	• Kangxi Radical 166	≈ 91CC 里
2FA6	 ⾦ 	KANGXI RADICAL GOLD	• Kangxi Radical 167	≈ 91D1 金
2FA7	 ⾧ 	KANGXI RADICAL LONG	• Kangxi Radical 168	≈ 9577 長
2FA8	 ⾨ 	KANGXI RADICAL GATE	• Kangxi Radical 169	≈ 9580 門
2FA9	 ⾩ 	KANGXI RADICAL MOUND	• Kangxi Radical 170	≈ 961C 阜
2FAA	 ⾪ 	KANGXI RADICAL SLAVE	• Kangxi Radical 171	≈ 96B6 隶
2FAB	 ⾫ 	KANGXI RADICAL SHORT TAILED BIRD	• Kangxi Radical 172	≈ 96B9 隹
2FAC	 ⾬ 	KANGXI RADICAL RAIN	• Kangxi Radical 173	≈ 96E8 雨
2FAD	 ⾭ 	KANGXI RADICAL BLUE	• Kangxi Radical 174	≈ 9751 靑
2FAE	 ⾮ 	KANGXI RADICAL WRONG	• Kangxi Radical 175	≈ 975E 非
2FAF	 ⾯ 	KANGXI RADICAL FACE	• Kangxi Radical 176	≈ 9762 面
2FB0	 ⾰ 	KANGXI RADICAL LEATHER	• Kangxi Radical 177	≈ 9769 革
2FB1	 ⾱ 	KANGXI RADICAL TANNED LEATHER	• Kangxi Radical 178	≈ 97CB 韋
