character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
捣,"扌, 山","pound, beat, hull, attack, disturb, stir",dǎo,"捣
├── 扌
└── 岛
    ├── 37154
    │   ├── 37430
    │   │   ├── 𢎘
    │   │   │   ├── ㇆
    │   │   │   └── ㇉
    │   │   └── 丶
    │   └── 丶
    └── 山",⿰扌⿹&CDP-8964;山,,,,,2865
浊,"氵, 虫","Muddy, turbid, dirty, filthy",zhuó,"浊
├── 氵
└── 虫",⿰氵虫,① the muddy waters 氵 of sechwan 蜀,,,,2866
糕,"米, 丷, 一, 土, 灬","Cakes, pastry, steamed dumplings",gāo,"糕
├── 米
└── 羔
    ├── 羊
    └── 灬",⿰米⿱⿱⿱丷一土灬,① cake made from rice 米 which is cooked like a lamb on fire 羔,,,,2867
迄,"辶, 丿, 一, 乙","Extend, reach, until, till",qì,"迄
├── 辶
└── 乞
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── ㇠",⿺辶⿱⿰丿一乙,① refugee begging 乞 to reach a place by walking 辶,,,,2868
岑,"山, 人, 丶, ㇇","small hill, surname Cen","cén, Cén","岑
├── 山
└── 今
    ├── 亽
    │   ├── 人
    │   └── 丶
    └── ㇇",⿱山⿱⿱人丶㇇,,,,,2869
辐,"车, 一, 口, 田",spoke of a wheel,fú,"辐
├── 车
└── 畐
    ├── 一
    └── 37617
        ├── 口
        └── 田",⿰车⿱⿱一口田,,,,,2870
鞍,"革, 宀, 女","graphic variant of 鞍[an1], saddle",ān,"鞍
├── 革
└── 安
    ├── 宀
    └── 女",⿰革⿱宀女,,,,,2871
嘿,"口, 黑",hey,hēi,"嘿
├── 口
└── 黑",⿰口黑,,,,,2872
灼,"火, 勹, 丶","luminous, burning, to burn, to cauterize",zhuó,"灼
├── 火
└── 勺
    ├── 勹
    └── 丶",⿰火⿹勹丶,,,,,2873
璋,"王, 立, 日, 十",ancient stone ornament,zhāng,"璋
├── 王
└── 章
    ├── 立
    └── 早
        ├── 日
        └── 十",⿰王⿱立⿱日十,,,,,2874
敖,"龶, 丿, 𠃌, 攵","Ramble, play about, leisurely, proud, haughty","áo, Áo","敖
├── 37749
│   ├── 龶
│   │   └── 丰
│   └── 万
│       ├── 一
│       └── 37184
│           ├── 丿
│           └── ㇆
└── ⺙",⿰⿱龶⿰丿𠃌攵,① rs. the action of 攵 a man with feathers in his head dress:  → 敖: proud; imitating such a man as a child: ramble,,,,2875
俏,"亻, ⺌, 月","good-looking, charming, (of goods) in great demand, (coll.) to season (food)",qiào,"俏
├── 亻
└── 肖
    ├── ⺌
    └── 月",⿰亻⿱⺌月,,,,,2876
遽,"辶, 虍, 豕","Suddenly, unexpectedly, at once, scared, frightened, agitated, agitation",jù,"遽
├── 辶
└── 豦
    ├── 虍
    └── 豕",⿺辶⿸虍豕,① run 辶 from a suddenly appearing wild boar 豦: scared,,,,2877
恚,"土, 心",rage,huì,"恚
├── 圭
│   └── 土
└── 心",⿱⿱土土心,,,,,2878
邸,"氏, 丶, 阝","Official residence, residence of, princes, noblemen","dǐ, Dǐ","邸
├── 氐
│   ├── 氏
│   └── 丶
└── 阝",⿰⿱氏丶阝,① sun low at the horizon 氐 in the capital 阝: a new party is starting at the official residence of a prince or nobleman,,,,2879
鳎,"𠂊, 田, 一, 日, 𠃌, 冫",sole (fish),tǎ,"鳎
├── 鱼
└── 𦐇
    ├── 日
    └── 羽",⿰⿳𠂊田一⿱日⿰⿹𠃌冫⿹𠃌冫,,,,,2880
咖,"口, 力",Coffee,kā,"咖
├── 口
└── 加
    ├── 力
    └── 口",⿰口⿰力口,① substance added 加 to the mouth 口,,,,2881
