character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
粉,"米, 八, 刀","Powder, face powder, plaster",fěn,"粉
├── 米
└── 分
    ├── 八
    └── 刀",⿰米⿱八刀,① rice 米 divided 分 into it's smallest part becomes powder,,,,1609
牵,"大, 冖, 牛","to lead along, to pull (an animal on a tether), (bound form) to involve, to draw in",qiān,"牵
├── 大
└── 37270
    ├── 冖
    └── 牛",⿳大冖牛,,,,,1610
辽,"辶, 乛, 亅","Distant, far, liao river in manchuria, liao dynasty",Liáo,"辽
├── 辶
└── 了
    ├── ㇇
    └── 亅",⿺辶⿱乛亅,① people used to going ⻌ with wet wood for fires 尞; their reign is complete 了 (finished),,,,1611
遵,"辶, 丷, 酉, 寸","Obey, comply with, follow, honour",zūn,"遵
├── 辶
└── 尊
    ├── 酋
    │   ├── 丷
    │   └── 酉
    └── 寸",⿺辶⿱⿱丷酉寸,① go ⻌ where the leader 尊 tells you to: obey,,,,1612
陶,"阝, 勹, 缶","Pottery, ceramics","táo, Táo","陶
├── 阝
└── 匋
    ├── 勹
    └── 缶",⿰阝⿹勹缶,① ceramic pot in a kiln 匋 made in a mound 阝,,,,1613
翰,"十, 日, 人, 𠃌, 冫","writing brush, writing, pen, surname Han","hàn, Hàn","翰
├── 龺
│   ├── 十
│   └── 早
│       ├── 日
│       └── 十
└── 95438
    ├── 人
    └── 羽",⿰⿱十⿱日十⿱人⿰⿹𠃌冫⿹𠃌冫,,,,,1614
寇,"宀, 一, 兀, ⺊, 又","old variant of 寇[kou4], old variant of 寇[kou4], to invade, to plunder, bandit, foe, enemy",kòu,"寇
├── 宀
└── 37460
    ├── 元
    │   ├── 二
    │   └── 儿
    └── 攴",⿱宀⿺⿱一兀⿱⺊又,,,,,1615
悦,"忄, 丷, 口, 儿","Pleased, contented, gratified",yuè,"悦
├── 忄
└── 兑
    ├── 丷
    └── 兄
        ├── 口
        └── 儿",⿰忄⿱丷⿱口儿,① heart 忄 with money 兌: pleased and content ② heart 忄 when the oldest brother 兌 is born,,,,1616
唤,"口, 𠂊, 冂, 大","Call, summon, invite, be called",huàn,"唤
├── 口
└── 奂
    ├── ⺈
    └── 央
        ├── 大
        └── 冂",⿰口⿳𠂊冂大,① mouth 口 calling out brilliantly 奐/央,,,,1617
遥,"辶, 爫, 缶","Far away, distant, remote",yáo,"遥
├── 47169
│   ├── 辶
│   └── 缶
└── 爫",⿺辶⿱爫缶,① going 辶 to a distant and remote country holding a pitcher 䍃 with precious contents,,,,1618
艘,"舟, 臼, 丨, 又","Counter for ships, vessels",sōu,"艘
├── 舟
└── 叟
    ├── 37689
    │   ├── 臼
    │   └── 丨
    └── 又",⿰舟⿱⿻臼丨又,① man carrying a light 叟 near a sail 舟: a ship at night,,,,1619
扎,"扌, 乚","to prick, to run or stick (a needle etc) into, jug (a classifier for liquids such as beer), penetrating (as of cold), struggle, variant of 紮|扎[za1], variant of 紮|扎[zha1], to tie, to bind, classifier for flowers, banknotes etc: bundle, Taiwan pr. [zha2]","zhā, zhá, zā","扎
├── 扌
└── 乚",⿰扌乚,,,,,1620
乾,"十, 日, 丿, 一, 乙","Drought, dry, exhausted","qián, gān, Qián","乾
├── 龺
│   ├── 十
│   └── 早
│       ├── 日
│       └── 十
└── 乞
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── ㇠",⿰⿱十⿱日十⿱⿰丿一乙,① rs. at dawn 倝 when the sun comes up things begin to dry 乙 ② man begging 乞 for water when the sun rises 龺: he's exhausted in the drought,,,,1621
叛,"丷, 二, 丨, 𠂆, 又","to betray, to rebel, to revolt",pàn,"叛
├── 半
│   ├── 37024
│   │   ├── 二
│   │   └── 丨
│   └── 丷
└── 反
    ├── ⺁
    └── 又",⿰⿱丷⿻二丨⿸𠂆又,,,,,1622
碰,"石, 丷, 一, ⼋, ⼁, ⼀","variant of 碰[peng4], to touch, to meet with, to bump, old variant of 碰[peng4]",pèng,"碰
├── 石
└── 並
    ├── 䒑
    │   ├── 丷
    │   └── 一
    └── 业
        ├── 37859
        │   ├── 10001
        │   │   └── 丨
        │   └── 丷
        └── 一",⿰石⿱⿱丷一⿱⿻⼋⿰⼁⼁⼀,,,,,1623
污,"氵, 一, ㇉","variant of 污[wu1], dirty, filthy, foul, corrupt, to smear, to defile, dirt, filth",wū,"污
├── 氵
└── 亏
    ├── 二
    └── ㇉",⿰氵⿱一⿱一㇉,,,,,1624
伍,"亻, 一, 力","Five, company of five, troops","wǔ, Wǔ","伍
├── 亻
└── 五
    ├── 一
    └── 65460
        ├── 力
        └── 一",⿰亻⿱一⿱力一,① five 五 men 亻,,,,1625
叙,"人, 一, 朩, 又","Express, state, relate, narrate","xù, Xù","叙
├── 余
│   ├── 人
│   └── 37526
│       ├── 干
│       └── 小
└── 又",⿰⿱⿱人一朩又,① hand 攵/又 expressing what is too much 余 to keep for oneself: narrate,,,,1626
峰,"山, 夂, 二, 一, 丨","Peak, summit, hump of camel",fēng,"峰
├── 山
└── 夆
    ├── 夂
    └── 丰
        ├── 三
        │   ├── 一
        │   └── 二
        └── 丨",⿰山⿱夂⿻⿻二一丨,① man walking through a lush forest 夆 near the peak of the mountain 山,,,,1627
饰,"饣, 丿, 一, 巾","Decorate, ornament, adorn, to deceive",shì,"饰
├── 饣
└── 60979
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 巾",⿰饣⿱⿰丿一巾,① cloth 巾 used to decorate a feeding 飤 place (restaurant),,,,1628
佩,"亻, 几, 一, 巾","to respect, to wear (belt etc), girdle ornaments",pèi,"佩
├── 亻
└── 37252
    ├── 几
    └── 帀
        ├── 一
        └── 巾",⿰亻⿵几⿱一巾,,,,,1629
绕,"纟, 一, 乚, 丿, 兀","to wind, to coil (thread), to rotate around, to spiral, to move around, to go round (an obstacle), to by-pass, to make a detour, to confuse, to perplex, variant of 繞|绕[rao4], to rotate around, to spiral, to move around, to go round (an obstacle), to by-pass, to make a detour",rào,"绕
├── 纟
└── 尧
    ├── 37427
    └── 兀",⿰纟⿱⿻⿻一乚丿兀,,,,,1630
溃,"氵, 口, 丨, 一, 贝","Flooding river, militarily defeat, crush, smash",kuì,"溃
├── 氵
└── 贵
    ├── 𠀐
    │   ├── 中
    │   │   ├── 口
    │   │   └── 丨
    │   └── 一
    └── 贝",⿰氵⿱⿱⿻口丨一贝,① expensive 貴 water 氵: river overflowing it's banks thus crushing an army and leading to military defeat,,,,1631
慌,"忄, 艹, 丶, ⼖, 儿, 丨","Nervous, panicky, frantic, lose one's head",huāng,"慌
├── 忄
└── 荒
    ├── 芒
    │   ├── 艹
    │   └── 亡
    │       ├── 匸
    │       └── 丶
    └── 37110
        ├── 儿
        └── 丨",⿰忄⿱艹⿱⿱丶⼖⿴儿丨,① mind and heart 忄 becoming a wasteland 荒: panic and nervous,,,,1632
糊,"米, 十, 口, 月","Paste, stick on with paste","hú, hù","糊
├── 米
└── 胡
    ├── 古
    │   ├── 十
    │   └── 口
    └── 月",⿰米⿰⿱十口月,① old body 胡 sticking things in a book with paste made from rice 米,,,,1633
匹,"匚, 儿","Bolt of cloth, match, counter for horses","pī, pǐ","匹
├── 匚
└── 儿",⿷匚儿,① rs. matching stones in a petra phone:  → 匹,,,,1634
伪,"亻, 力, ⺀","False, counterfeit, bogus",wěi,"伪
├── 亻
└── 为
    ├── 力
    └── ⺀",⿰亻⿻力⺀,① person 亻 feeling if this elephant 為/为 is false,,,,1635
腹,"月, 丿, 一, 日, 夂","Stomach, belly, abdomen, inside",fù,"腹
├── 月
└── 复
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 40475
        ├── 日
        └── 夂",⿰月⿳⿰丿一日夂,① where eaten flesh 月 repeatedly 复 goes,,,,1636
挺,"扌, 廴, 丿, 士","Stand upright, straighten, rigid",tǐng,"挺
├── 扌
└── 廷
    ├── 廴
    └── 壬
        ├── ㇒
        └── 士",⿰扌⿺廴⿱丿士,① hand 扌 urging people to stand upright or straighten their backs in court 廷,,,,1637
幻,"幺, 𠃌","Illusion, fantasy, mirage",huàn,"幻
├── 幺
└── ㇆",⿰幺𠃌,"① rs. a shuttle with a string which goes back and forth: changeable, can't be caught:  → 幻: illusion",,,,1638
辑,"车, 口, 耳","Gather up, collect, edit, compile",jí,"辑
├── 车
└── 咠
    ├── 口
    └── 耳",⿰车⿱口耳,"① listen 耳 to what people say 口, gather up the best slanders 咠, and use a machine 車/车 to edit it",,,,1639
撒,"扌, 十, 丨, 一, ⺆, 冫, 攵","Scatter, sprinkle, disperse, spread, spill","sā, sǎ","撒
├── 扌
└── 散
    ├── 38239
    │   ├── 龷
    │   │   ├── 艹
    │   │   └── 一
    │   └── 月
    └── ⺙",⿰扌⿰⿱⿱⿻十丨一⿵⺆冫攵,① hand 扌scattering 散,,,,1640
贴,"贝, ⺊, 口","Paste to, stick on, attached to",tiē,"贴
├── 贝
└── 占
    ├── ⺊
    └── 口",⿰贝⿱⺊口,① money 貝 stuck on a fortuneteller 占,,,,1641
泥,"氵, 尸, 匕","Mud, mire, earth, clay, plaster, be tied down by conventions, old practices, adhere to","ní, nì","泥
├── 氵
└── 尼
    ├── 尸
    └── 匕",⿰氵⿸尸匕,① old corpse 尼 going back to the earth mixed with water 氵; it adheres to everything ② old nun 尼 practising old customs with water 氵,,,,1642
媒,"女, 甘, 木","Go-between, matchmaker, mediator, medium",méi,"媒
├── 女
└── 某
    ├── 甘
    └── 木",⿰女⿱甘木,① only certain 某 women 女 serve as matchmaker,,,,1643
壬,"丿, 士","The ninth of the ten celestial stems, artful and crafty, great, pregnant",rén,"壬
├── ㇒
└── 士",⿱丿士,① rs. two loads 工 on a carry pole: something crafted; woman carrying a baby: pregnant,𡈼,,,1644
慧,"二, 一, 丨, 彐, 心","Bright, intelligent, wise",huì,"慧
├── 彗
│   ├── 10031
│   │   └── 丰
│   └── 彐
└── 心",⿱⿱⿰⿻⿻二一丨⿻⿻二一丨彐心,① mind 心 able to sweep 彗 hindering thoughts away: bright and intelligent mind,,,,1645
仔,"亻, 子","Small thing, child, young animal, careful","zǎi, zī, zǐ","仔
├── 亻
└── 子",⿰亻子,① rs. people 亻 must be careful with children 子,,,,1646
葬,"艹, 歹, 匕, 廾","Bury, inter",zàng,"葬
├── 艹
└── 37613
    ├── 死
    │   ├── 歹
    │   └── 匕
    └── 艹",⿳艹⿸歹匕廾,① bury a dead person 死 under the vegetation 𦬇,,,,1647
胞,"月, 勹, 巳","Womb, placenta, fetal membrane",bāo,"胞
├── 月
└── 包
    ├── 勹
    └── 巳",⿰月⿹勹巳,① in which the body 月 of the baby is wrapped 包,,,,1648
乞,"丿, 一, 乙","Beg, request",qǐ,"乞
├── 𠂉
│   ├── 丿
│   └── 一
└── ㇠",⿱⿰丿一乙,① rs. kneeling 乙 man 𠂉 speaking: beg,,,,1649
亭,"亠, 口, 冖, 一, 亅","Pavilion, erect",tíng,"亭
├── 37106
│   ├── 37045
│   │   ├── 亠
│   │   └── 口
│   └── 冖
└── 丁
    ├── 一
    └── 亅",⿱⿳亠口冖⿱一亅,① tall building 高 → 亭 without windows 口 where people 丁 can sit,,,,1650
尘,"小, 土","Dust, dirt, ashes, cinders",chén,"尘
├── 小
└── 土",⿱小土,① earth 土 where deer 鹿 reign: dusty and dirty ② rs. from small 小 piece of earth 土. meaning dust.,,,,1651
码,"石, 一","Number, numerals, yard, symbol",mǎ,"码
├── 石
└── 马",⿰石⿹&CDP-8A77;一,① marking in stone 石 counting the number of horses 馬 passing by,,,,1652
欣,"斤, 欠","Happy, joyous, delighted",xīn,"欣
├── 斤
└── 欠",⿰斤欠,① singing man 欠 while working with his axe 斤: happy and joyous person,,,,1653
邻,"人, 丶, 厶, 阝","Neighbour, neighbouring, adjacent",lín,"邻
├── 令
│   ├── 亽
│   │   ├── 人
│   │   └── 丶
│   └── 龴
│       └── 厶
└── 阝",⿰⿱⿱人丶厶阝,① flickering lights 粦 of neighbours in the city or on the hill 阝,,,,1654
恋,"亠, 心","Love, long for, yearn for",liàn,"恋
├── 亦
│   ├── 亠
│   └── 37456
│       ├── 37476
│       │   ├── 丨
│       │   └── 亅
│       └── 八
└── 心",⿱⿱亠&CDP-8CB5;心,① entwined 䜌 heart 心: completely in love ② wet 亦 heart 心,,,,1655
辆,"车, 一, 冂, 人",,liàng,"辆
├── 车
└── 两
    ├── 一
    └── 37671
        ├── 从
        │   └── 人
        └── 冂",⿰车⿱一⿻冂⿰人人,① see 両,,,,1656
焦,"隹, 灬","Burned, scorched, anxious, vexed","jiāo, Jiāo","焦
├── 隹
└── 灬",⿱隹灬,① rs. roast 灬 a bird 隹,,,,1657
嗣,"口, 冂, 十, 丨, 𠃌, 一","Inherit, descendants, heirs, follow",sì,"嗣
├── 37461
│   ├── 口
│   └── 𠕁
│       ├── 冂
│       └── 艹
└── 司
    ├── ㇆
    └── 𠮛
        ├── 一
        └── 口",⿰⿱口⿵冂⿻十丨⿹𠃌⿱一口,① rs. the things that are spoken 口 in the will 冊 (and managed 司 by it),,,,1658
乔,"丿, 大, 丨","Tall, lofty, proud, stately","qiáo, Qiáo","乔
├── 夭
│   ├── ㇒
│   └── 大
└── 10001
    └── 丨",⿱⿱丿大⿰丿丨,① contr. 夭高 → 喬: high 高 as the sky 天; hold once head high = be proud and walk stately, 橋,,,1659
呈,"口, 王","Submit, show, appear, petition",chéng,"呈
├── 口
└── 王",⿱口王,① speak 口 to the ruler 王: submitting one's plan,,,,1660
霍,"雨, 隹","suddenly, surname Huo","huò, Huò","霍
├── 雨
└── 隹",⿱雨隹,,,,,1661
拟,"扌, ⼂, 乚, ⼈","Draft, intend, plan, propose",nǐ,"拟
├── 扌
└── 以
    ├── 37473
    │   ├── 乚
    │   └── 丶
    └── 人",⿰扌⿰⿱⼂乚⼈,① hand 扌 doubting 疑 several plans: draft ② ⓢ achieved by means 以 of a hand 扌,,,,1662
箱,"竹, 木, 目","Case, box, chest, trunk",xiāng,"箱
├── ⺮
└── 相
    ├── 木
    └── 目",⿱竹⿰木目,① bamboo ⺮ box to store related 相 things,,,,1663
跃,"口, 止, 丿, 大","Skip, jump, frolic, dance",yuè,"跃
├── ⻊
└── 夭
    ├── ㇒
    └── 大",⿰⿱口止⿱丿大,① step ⻊ like a pheasant 翟,,,,1664
仗,"亻, 丈","weaponry, to hold (a weapon), to wield, to rely on, to depend on, war, battle",zhàng,"仗
├── 亻
└── 丈
    ├── 十
    └── 乂
        └── ㇒",⿰亻丈,,,,,1665
莲,"艹, 辶, 车","Lotus, water lily, (buddhist) paradise",lián,"莲
├── 艹
└── 连
    ├── 辶
    └── 车",⿱艹⿺辶车,① plant 艹 of which the roots and the seeds look like rolling wheels 連,,,,1666
覆,"覀, 彳, 丿, 一, 日, 夂","Cover, tip over, return, reply, defeat",fù,"覆
├── 覀
└── 復
    ├── 彳
    └── 复
        ├── 𠂉
        │   ├── 丿
        │   └── 一
        └── 40475
            ├── 日
            └── 夂",⿱覀⿰彳⿳⿰丿一日夂,① bird 覀 returning 復 to it's nest in the evening 覀 to find it turned over,,,,1667
锁,"钅, ⺌, 贝","Lock, padlock, shackles, chains",suǒ,"锁
├── 钅
└── 37310
    ├── ⺌
    └── 贝",⿰钅⿱⺌贝,① small pieces 𧴪 of metal 金 making up a chain serving as lock,,,,1668
羽,⽻,"Feather, plume, wings, rad. 124",yǔ,羽,⽻,① feathers:  →  → 羽," 毛; 翁 翻 扇 弱 翼 翌 習; al. 𦏲: 翟; 𠃧: 飛; al. 
飞",,,1669
咸,"厂, 戈, 一, 口","Together, all, completely, united, salt","xián, Xián","咸
├── 戊
│   ├── 厂
│   └── 戈
└── 𠮛
    ├── 一
    └── 口",⿵⿵⿻厂戈一口,① fortress 戌 defended by all people 口 together standing united ② roman spearmen 戈 defending a cliff 厂 paid with salt for their mouth 口,感 醎,,,1670
铺,"钅, 十, 月, 丶","Store, shop, lay out","pù, pū","铺
├── 钅
└── 甫
    ├── 41053
    │   ├── 十
    │   └── 用
    └── 丶",⿰钅⿺⿻十月丶,① house with a lot of chatter 舍/舎 where produce from the field 甫 are laid out and sold for money 钅,,,,1671
陪,"阝, 立, 口","Accompany, be with, keep company",péi,"陪
├── 阝
└── 咅
    ├── 立
    └── 口",⿰阝⿱立口,① person with mouth 咅 accompanying (protecting) a slope 阝,,,,1672
爬,"爪, 巴","Crawl, creep, climb, scramble",pá,"爬
├── 爪
└── 巴
    ├── 𠃜
    │   ├── 丨
    │   └── 47652
    │       ├── 99721
    │       │   └── 匚
    │       └── 丨
    └── 乚",⿺爪巴,① crawl like a snake 巴 on one's claws 爪,,,,1673
戊,"厂, 戈","5th heavenly stem, 5th calendar sign, sickle, scythe",wù,"戊
├── 厂
└── 戈",⿻厂戈,① rs. modification of 戈: a scythe (farming tool used to cut grass),,,,1674
勿,"勹, 丿","Not, must not, do not, be not",wù,"勿
├── 勹
└── 37125
    └── ㇒",⿹勹⿱丿丿,① animal (物 and 豕) without a tail,,,,1675
飘,"覀, 示, 几, 㐅","variant of 飄|飘[piao1], to float",piāo,"飘
├── 票
│   ├── 覀
│   └── 示
└── 风",⿰⿱覀示⿵几㐅,,,,,1676
仓,"人, 㔾","Warehouse, storehouse, granary, berth, sea",cāng,"仓
├── 人
└── 㔾",⿱人㔾,① people 口 eating 食 from the foods stored at the warehouse ② ⓢ people 人⺋ packed together in a storehouse,,,,1677
诛,"讠, 木, ㇒, 一","to put (a criminal) to death, to punish",zhū,"诛
├── 讠
└── 朱
    ├── 未
    │   ├── 木
    │   └── 一
    └── ㇒",⿰讠⿱木⿰㇒一,,,,,1678
漫,"氵, 日, 罒, 又","Overflowing, uncontrolled, reckless, unsystematic, spread over, everywhere, cartoon",màn,"漫
├── 氵
└── 曼
    ├── 日
    └── 59548
        ├── 罒
        └── 又",⿰氵⿳日罒又,① rs. vast 曼 body of water 氵; the ideal setting for a cartoon ② tears 氵 of a person with hand with long fingers and eyes with long eyelashes seen under the light 曼 : typical of a cartoon,,,,1679
夷,"大, 弓","Barbarians, peaceful, level, eliminate",yí,"夷
├── 大
└── 弓",⿻大弓,① rs. those people 大 who dress in wraps 弓 not sewed cloths: barbarians; better be at peace with them than be leveled or eliminated,,,,1680
悟,"忄, 一, 力, 口","Apprehend, realise, become aware, enlightenment",wù,"悟
├── 忄
└── 吾
    ├── 五
    │   ├── 一
    │   └── 65460
    │       ├── 力
    │       └── 一
    └── 口",⿰忄⿱⿱一⿱力一口,① five 五 mouths 口 opening up into the mind 忄 and starting to speak: enlightenment or awareness,,,,1681
撰,"扌, 巳, 十, 丨, 一, 八","to compose, to compile, variant of 撰[zhuan4]",zhuàn,"撰
├── 扌
└── 巽
    ├── 37142
    │   └── 巳
    └── 共
        ├── 龷
        │   ├── 艹
        │   └── 一
        └── 八",⿰扌⿱⿰巳巳⿱⿱⿻十丨一八,,,,,1682
愤,"忄, 十, 廾, 贝","Resent, hate, indignant",fèn,"愤
├── 忄
└── 贲
    ├── 十
    └── 38102
        ├── 艹
        └── 贝",⿰忄⿱⿱十廾贝,① ornamented 賁 heart 忄: rich person evoking much resentment and hatred,,,,1683
辉,"⺌, 兀, 冖, 车","Brightness, luster, brilliance",huī,"辉
├── 光
│   ├── ⺌
│   └── 兀
└── 军
    ├── 冖
    └── 车",⿰⿱⺌兀⿱冖车,① brightness of the light 光 of a military 軍 camp,,,,1684
滑,"氵, 月","Slip, slide, slippery, polished","huá, Huá","滑
├── 氵
└── 骨",⿰氵⿱&CDP-89A9;月,① slip on water 氵 breaking one's bones 骨,,,,1685
幅,"巾, 一, 口, 田","Piece, strip, hanging scroll, breadth of, hem, width",fú,"幅
├── 巾
└── 畐
    ├── 一
    └── 37617
        ├── 口
        └── 田",⿰巾⿱⿱一口田,① piece of hanging scroll 巾 painted with ink from a pot 畐 over the entire width,,,,1686
廉,"广, 丷, 一, ⺺","Upright, honourable, honest, cheap,","lián, Lián","廉
├── 广
└── 兼
    ├── 䒑
    │   ├── 丷
    │   └── 一
    └── 37471
        ├── 99948
        │   ├── 10001
        │   │   └── 丨
        │   └── 八
        └── ⺕",⿸广⿱⿱丷一⿻⺺&CDP-8CB5;,① rs. he who guards the grain 兼 in the silo 广 must be incorruptible; this only works when the grain is cheap,,,,1687
宅,"宀, 丿, ⼀, 乚","Residence, dwelling, home, grave",zhái,"宅
├── 宀
└── 乇
    ├── ㇒
    └── 七
        ├── 乚
        └── 一",⿱宀⿱丿⿻⼀乚,① thrusted 乇 home 宀 ② thrusted 乇 roofed 宀 place 土,,,,1688
丘,"⽄, ⼀","Hill, elder, empty","qiū, Qiū","丘
├── 斤
└── 一",⿱⽄⼀,① rs. small hills:  →  → 㐀 → 丘,,,,1689
寅,"宀, 一, 由, 八","To respect, reverence, 3rd terrestrial branch, tiger",yín,"寅
├── 宀
└── 37455
    ├── 37836
    │   ├── 一
    │   └── 由
    │       ├── 37024
    │       │   ├── 二
    │       │   └── 丨
    │       └── 凵
    └── 八",⿱宀⿳一由八,① an arrow in a target  →  → 寅: respect the law or face the consequences; like the teeth of a tiger biting into some prey,,,,1690
艇,"舟, 廴, 丿, 士","Small boat, dugout, punt",tǐng,"艇
├── 舟
└── 廷
    ├── 廴
    └── 壬
        ├── ㇒
        └── 士",⿰舟⿺廴⿱丿士,① boat 舟 used at the imperial court 廷 in the garden: small boat,,,,1691
谕,"讠, 人, 一, 月, 刂","Proclaim, instruct, edict",yù,"谕
├── 讠
└── 俞
    ├── 亼
    │   ├── 人
    │   └── 一
    └── 刖
        ├── 月
        └── 刂",⿰讠⿱⿱人一⿰月刂,① speak 言 with approval 俞,,,,1692
柔,"矛, 木","Soft, gentle, pliant",róu,"柔
├── 矛
└── 木",⿱矛木,① rs. a tree 木 soft enough that it can be cut by a stone saw 矛,,,,1693
迪,"辶, 由","Enlighten, advance, progress",dí,"迪
├── 辶
└── 由
    ├── 37024
    │   ├── 二
    │   └── 丨
    └── 凵",⿺辶由,① something growing 由 while one is walking 辶 the way: enlightenment,,,,1694
弥,"弓, 𠂊, 小","To fill, to complete, more",mí,"弥
├── 弓
└── 尔
    ├── ⺈
    └── 小",⿰弓⿱𠂊小,① somebody wields the bow 弓 and shoots animals to fill your 爾/尔 stomach,,,,1695
扑,"扌, 卜","Pound, beat, strike, attack",pū,"扑
├── 扌
└── 卜",⿰扌卜,① hand 扌 beating away the vegetation while going through it 菐 ② hand 扌 of the fortuneteller 卜 beating the skull of an animal,,,,1696
撞,"扌, 立, 里","Knock against, bump into, collide",zhuàng,"撞
├── 扌
└── 童
    ├── 立
    └── 里",⿰扌⿱立里,① playing child 童 bumping into things with his hands 扌,,,,1697
寸,⼨,"Inch, small, tiny, measurement (3.03 cm) rad. 41",cùn,寸,⼨,"① thing 丶 which is smaller than (beneath) the hand 𠂇:  → 寸 ② con. hand holding something, take","封 村 射 奪 尋, 甫 求; 法",,,1698
胁,"月, 力, 八","Ribs, armpits, flank, threaten",xié,"胁
├── 月
└── 办
    ├── 力
    └── 八",⿰月⿻力八,① that to which the forceful 劦/办 flesh 月 is attached,,,,1699
荆,"艹, 一, 廾, 刂","Thorns, brambles, my wife, cane",jīng,"荆
├── 艹
└── 刑
    ├── 开
    │   ├── 一
    │   └── 廾
    └── 刂",⿰⿱艹⿱一廾刂,① part of the plant 艹 that punishes 刑 you when you touch it,,,,1700
蛋,"疋, 虫","Eggs, term of abuse","dàn, Dàn","蛋
├── 疋
└── 虫",⿱疋虫,① insect 虫 rolling up 疋 it's eggs,,,,1701
巳,巳,"6th earthly branch: 9-11 a.m., 4th solar month (5th May-5th June), year of the Snake, ancient Chinese compass point: 150°",sì,巳,,,,,,1702
频,"止, 𣥂, 页","Frequently, again and again, urgent, knit",pín,"频
├── 步
│   ├── 止
│   └── 𣥂
│       ├── 小
│       └── 丿
└── 页",⿰⿱止𣥂页,① rs. related to the head 頁 (knit the brows) and 步 foot steps: continuously,顰,,,1703
唬,"口, 虍, 几","a tiger's roar, to scare, to intimidate, (coll.) to fool, to bluff",hǔ,"唬
├── 口
└── 虎",⿰口⿸虍几,,,,,1704
矿,"石, 广","ore, mine, variant of 礦|矿[kuang4]",kuàng,"矿
├── 石
└── 广",⿰石广,,,,,1705
契,"二, 一, 丨, 刀, 大","Deed, contract, bond, engrave",qì,"契
├── 㓞
│   ├── 丰
│   │   ├── 三
│   │   │   ├── 一
│   │   │   └── 二
│   │   └── 丨
│   └── 刀
└── 大",⿱⿰⿻⿻二一丨刀大,① rs. a contract 㓞 between men 大,,,,1706
腾,"月, 丷, 二, 人, 一","Fly, gallop, run, prance, rise",téng,"腾
├── 月
└── 38143
    ├── 龹
    │   ├── 半
    │   │   ├── 37024
    │   │   │   ├── 二
    │   │   │   └── 丨
    │   │   └── 丷
    │   └── 八
    └── 马",⿰月⿱⿱丷⿻二人⿹&CDP-8A77;一,① majestic 朕 horse 馬 (pegasus) flying and running through the sky,,,,1707
插,"扌, 丿, 十, 臼","Insert, stick into, plant",chā,"插
├── 扌
└── 臿
    ├── 千
    │   ├── ㇒
    │   └── 十
    └── 臼",⿰扌⿻⿱丿十臼,① hand 扌 inserting a pestle into a mortar 臿/𢆍,,,,1708
碍,"石, 日, 一, 寸","to hinder, to obstruct, to block",ài,"碍
├── 石
└── 㝵
    ├── 旦
    │   ├── 日
    │   └── 一
    └── 寸",⿰石⿱⿱日一寸,,,,,1709
储,"亻, 讠, 耂, 日","Save money, store, reserve, an heir","chǔ, Chǔ","储
├── 亻
└── 诸
    ├── 讠
    └── 者
        ├── 耂
        └── 日",⿰亻⿰讠⿸耂日,① person saying things 諸 to another person 亻: bank clerk recommending that the client will save money,,,,1710
锋,"钅, 夂, 二, 一, 丨","point of a spear, edge of a tool, vanguard, forward (in sports team)",fēng,"锋
├── 钅
└── 夆
    ├── 夂
    └── 丰
        ├── 三
        │   ├── 一
        │   └── 二
        └── 丨",⿰钅⿱夂⿻⿻二一丨,,,,,1711
龄,"齿, 人, 丶, 厶",Age,líng,"龄
├── 齿
└── 令
    ├── 亽
    │   ├── 人
    │   └── 丶
    └── 龴
        └── 厶",⿰齿⿱⿱人丶厶,① the state of one's teeth 齒/歯 and one's command 令 of oneself is an indicator of age,,,,1712
盾,"𠂆, 十, 目","Shield, dutch guilder, indonesia",dùn,"盾
├── ⺁
└── 𥃭
    ├── 十
    └── 目",⿸𠂆⿱十目,① rs. an eye 目 looking through a shield,,,,1713
兽,"丷, 田, 一, 口","Beast, animal, bestial",shòu,"兽
├── 丷
└── 37232
    ├── 田
    └── 𠮛
        ├── 一
        └── 口",⿳⿱丷田一口,"① rs. an animal 嘼 such as a dog 犬 ② ⓢ a scary beast face with horns 丷, eyes 田, nose 一, and a mouth 口",,,,1714
洁,"氵, 士, 口","Clean, purify, pure",jié,"洁
├── 氵
└── 吉
    ├── 士
    └── 口",⿰氵⿱士口,① water 氵 with measured 絜 quality is clean and pure ② ⓢ speech of the sage 吉 confirms water 氵 is clean,,,,1715
桃,"木, ⼎, ⼉","Peach, marriage",táo,"桃
├── 木
└── 兆
    ├── 儿
    └── 37036
        ├── 冫
        └── 90011
            └── 冫",⿰木⿲⼎⼉⼎,① tree 木 making beautiful signs (blossoms) 兆 in spring,,,,1716
朕,"月, 丷, 一, 大","I, majestic plural",zhèn,"朕
├── 月
└── 关
    ├── 丷
    └── 天
        ├── 一
        └── 大",⿰月⿱丷⿱一大,① body 月 in heavenly 天 heights may divide 丷 everything under the earth ② rs. pole 灷 a boat 舟: 𦩎 → 𦨶 → 朕,,,,1717
